dra,ddec,mag
4.1779209999999996,-1.6126200000000002,17.45
4.203743,-1.6007200000000001,17.45
4.229561,-1.5888200000000001,17.45
4.255376,-1.57693,17.45
4.281187,-1.56504,17.45
4.306994,-1.55314,17.45
4.332798,-1.54125,17.45
4.3585970000000005,-1.5293700000000001,17.45
4.384394,-1.51748,17.45
4.410186,-1.50559,17.45
4.435975,-1.49371,17.45
4.46176,-1.48183,17.45
4.487541,-1.46995,17.45
4.513279,-1.45836,17.45
4.539052,-1.44648,17.46
4.564822,-1.43461,17.46
4.5905879999999994,-1.4227299999999998,17.46
4.61635,-1.41086,17.46
4.642108,-1.39899,17.46
4.667862,-1.3871200000000001,17.46
4.693612,-1.37525,17.46
4.719358000000001,-1.3633899999999999,17.46
4.7451,-1.35152,17.46
4.7708379999999995,-1.33966,17.46
4.796572,-1.3278,17.46
4.822302,-1.3159399999999999,17.46
4.848028,-1.30409,17.46
4.87375,-1.29223,17.46
4.899468,-1.2803799999999999,17.46
4.925180999999999,-1.26853,17.46
4.95089,-1.25668,17.46
4.976596,-1.2448299999999999,17.46
5.002297,-1.23298,17.47
5.027993,-1.22114,17.47
5.053686,-1.20929,17.47
5.079374,-1.19745,17.47
5.1050580000000005,-1.18561,17.47
5.130738,-1.1737799999999998,17.47
5.156413,-1.16194,17.47
5.182084,-1.15011,17.47
5.20775,-1.1382700000000001,17.47
5.233413,-1.1264399999999999,17.47
5.2590699999999995,-1.1146200000000002,17.47
5.284724,-1.10279,17.47
5.310373,-1.09096,17.47
5.336017,-1.07914,17.47
5.361657,-1.06732,17.47
5.387293,-1.0555,17.47
5.412923999999999,-1.04369,17.47
5.43855,-1.03187,17.47
5.4641720000000005,-1.02006,17.48
5.48979,-1.00825,17.48
5.515402,-0.99644,17.48
5.541011,-0.9846299999999999,17.48
5.5666139999999995,-0.97282,17.48
5.592213,-0.9610200000000001,17.48
5.617807,-0.9492200000000001,17.48
5.643397,-0.93742,17.48
5.668981,-0.9256200000000001,17.48
5.694561,-0.9138299999999999,17.48
5.720137,-0.9020299999999999,17.48
5.745707,-0.8902399999999999,17.48
5.771273000000001,-0.87845,17.48
5.796834,-0.86667,17.48
5.82239,-0.85488,17.48
5.8479410000000005,-0.8431,17.48
5.873487,-0.8313200000000001,17.48
5.8990290000000005,-0.8195399999999999,17.48
5.924566,-0.80776,17.48
5.950097,-0.79599,17.49
5.975624,-0.7842100000000001,17.49
6.001146,-0.77244,17.49
6.026663,-0.76067,17.49
6.052174,-0.7489100000000001,17.49
6.077681,-0.73714,17.49
6.1031830000000005,-0.72538,17.49
6.12868,-0.71362,17.49
6.154172,-0.70186,17.49
6.179658,-0.69011,17.49
6.20514,-0.67835,17.49
6.230616,-0.6666,17.49
6.256088,-0.65485,17.49
6.281554,-0.6431,17.49
6.307015,-0.63136,17.49
6.33247,-0.61962,17.49
6.357921,-0.60788,17.49
6.3833660000000005,-0.59614,17.49
6.408807,-0.5844,17.49
6.434241,-0.57267,17.5
6.459671,-0.56094,17.5
6.485094999999999,-0.5492100000000001,17.5
6.510514,-0.5374800000000001,17.5
6.535928,-0.52576,17.5
6.561336,-0.51403,17.5
6.586739,-0.50231,17.5
6.612137,-0.49058999999999997,17.5
6.637529,-0.47888000000000003,17.5
6.662916,-0.46717,17.5
6.688297,-0.45545,17.5
6.713673,-0.44375,17.5
6.739043,-0.43204,17.5
6.764408,-0.42033000000000004,17.5
6.789768,-0.40863,17.5
6.815121,-0.39693,17.5
6.84047,-0.38524,17.5
6.865813,-0.37354,17.5
6.89115,-0.36185,17.5
6.916481,-0.35015999999999997,17.51
6.941807000000001,-0.33847,17.51
6.967128,-0.32679,17.51
6.992442,-0.3151,17.51
7.017751,-0.30341999999999997,17.51
7.043054,-0.29175,17.51
7.068352,-0.28007,17.51
7.093642999999999,-0.2684,17.51
7.118929,-0.25673,17.51
7.14421,-0.24506,17.51
7.169484,-0.23339000000000001,17.51
7.1947529999999995,-0.22173,17.51
7.220016,-0.21006999999999998,17.51
7.245272999999999,-0.19841,17.51
7.270524000000001,-0.18675,17.51
7.29577,-0.1751,17.51
7.321008999999999,-0.16345,17.51
7.346242999999999,-0.1518,17.51
7.3714710000000006,-0.14015,17.51
7.396692999999999,-0.12850999999999999,17.52
7.421908999999999,-0.11687,17.52
7.447119,-0.10522999999999999,17.52
7.472322999999999,-0.0936,17.52
7.497521000000001,-0.08196,17.52
7.522713,-0.07032999999999999,17.52
7.547899,-0.0587,17.52
7.573078999999999,-0.047080000000000004,17.52
7.598253,-0.03545,17.52
7.6234210000000004,-0.02383,17.52
7.648583,-0.01222,17.52
7.673739,-0.0006,17.52
7.698889,0.011012000000000001,17.52
7.724033,0.022622999999999997,17.52
7.7491699999999994,0.034230000000000003,17.52
